"issue","subject","company","response","product_area","status","request_type","justification","confidence_score","source_documents","risk_level","pii_detected","language","actions_taken"
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]","Claude access lost","Claude","To restore your access to the Claude team workspace, I recommend reaching out to your IT admin or the workspace owner to have them re-add you as a member. They can do this by navigating to Organization settings > Organization and clicking 'Add member', then entering your email address and selecting the appropriate seat type. If you're having trouble, you may want to review the account management FAQs for more information.","Claude Team and Enterprise Plans","replied","product_issue","The user is experiencing an access issue due to their seat being removed, and the corpus provides guidance on how to manage members and seats on Team and Enterprise plans.","0.8","data/claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md|data/claude/team-and-enterprise-plans/admin-management/13393991-purchase-and-manage-seats-on-enterprise-plans.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]","Test Score Dispute","DevPlatform","I understand you're concerned about your test score. However, the provided corpus documents do not contain information on how to review or dispute test scores directly. For questions about the test or accommodations, it's suggested to include a FAQ with guidelines for candidates, as mentioned in our best practice guides.","DevPlatform","replied","invalid","The request involves a specific action (reviewing and potentially altering a test score) that is not covered by the provided corpus documents. The documents primarily discuss integrations, best practices, and general guides, without addressing the process for disputing test scores or interacting with recruiter decisions.","0.8","data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md|data/devplatform/general-help/evaluation-guides/7483769801-mid-level.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]","Help","Visa","Ons vra om verskoning vir die probleem wat u ondervind. Volgens ons dokumente kan ons nie self 'n terugbetaling doen of 'n verkoper verbied om betalings te ontvang nie. Ons raai u aan om kontak te maak met u uitreiker of bank om hulp te kry met die transaksie.","Visa","escalated","product_issue","Die korpus dokumente verskaf nie genoeg inligting om die vraag veilig te beantwoord nie, en die vraag vereis aksie buite die beskikbare gereedskappe.","0.75","data/visa/support.md|data/visa/support/consumer/visa-rules.md","medium","false","af","[]"
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]","Why are my mock interviews not working","DevPlatform","If you are not satisfied with your mock interview, please contact [email on file] for assistance. The support team will review your request.","mock interviews","replied","product_issue","The user is experiencing issues with mock interviews and is requesting a refund. The corpus provides a contact email for support, which is the recommended course of action.","0.8","data/devplatform/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md","medium","false","af","[]"
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]","Give me my money","DevPlatform","I understand you're having an issue with your payment. Unfortunately, the provided information doesn't allow me to directly assist with your payment issue. For help with order ID: cs_live_abcdefgh, I recommend checking the DevPlatform documentation or reaching out to the support team for further assistance.","DevPlatform","escalated","product_issue","The corpus does not contain information about handling payment issues or order IDs, so I'm escalating the request.","0.8","","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]","Using DevPlatform for hiring","DevPlatform","To assist with the infosec process for your company while using DevPlatform for hiring, I recommend reviewing the best practices for maintaining test integrity, which includes the use of AI Plagiarism Detection. However, for specific guidance on filling in forms related to your company's infosec process, the provided corpus does not contain sufficient information. Therefore, I'm escalating this request to ensure you receive the most accurate and helpful support.","DevPlatform Hiring Process","escalated","product_issue","The corpus does not provide direct information on the infosec process for companies using DevPlatform for hiring, making it necessary to escalate for more detailed and accurate support.","0.75","data/devplatform/screen/best-practice-guides/1878974014-best-practices-to-maintain-test-integrity.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice, submissions not working","DevPlatform","I understand you're having trouble seeing the apply tab. The provided corpus documents don't contain specific information about the 'apply tab' or submissions not working. For assistance with your issue, I recommend reaching out to your DevPlatform representative for further guidance.","DevPlatform","escalated","product_issue","The corpus does not provide enough information to safely address the user's issue with the 'apply tab' or submissions not working. To avoid providing potentially incorrect information, it's best to escalate the issue.","0.75","","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]","Issue while taking the test","DevPlatform","Sorry to hear that you're experiencing issues with submissions across challenges on our website. I recommend checking the weekly challenge banner on the homepage and ensuring that you're using the updated experience, which was rolled out in phases starting April 23. If the issue persists, please try switching between Secure Mode and Proctor Mode, if available, to see if it resolves the problem.","DevPlatform","replied","product_issue","The user is experiencing a technical issue with submissions, and the corpus provides some general guidance on using the platform, but no specific troubleshooting steps are available.","0.75","data/devplatform/screen/best-practice-guides/4291690360-plagiarism-best-practices-guide.md|data/devplatform/skillup/getting-started/7992263058-weekly-challenges.md|data/devplatform/general-help/release-notes/5686123513-april-2025-release-notes.md|data/devplatform/general-help/release-notes/2321596225-january-2026-release-notes.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]","I am facing an blocker while doing compatible check","DevPlatform","We're unable to process your request at this time. A support specialist will follow up shortly.","DevPlatform","escalated","product_issue","LLM returned unparseable output; safe escalation applied.","0.0","","low","false","en","[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""normal"", ""department"": ""general"", ""summary"": ""LLM parse failure""}}]"
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]","","DevPlatform","Thank you for reaching out to us about rescheduling your DevPlatform assessment. We understand that unforeseen circumstances can arise, and we appreciate your interest in this opportunity. However, the provided corpus documents do not contain specific information on how to reschedule an assessment. We recommend reviewing the onboarding candidates document for general guidance on the assessment invitation process.","DevPlatform Assessment Scheduling","escalated","product_issue","The corpus documents do not provide clear instructions on how to reschedule an assessment, and we cannot invent policies or steps not present in the corpus.","0.75","data/devplatform/uncategorized/9695299159-onboarding-candidates.md|data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md","low","false","en","[]"
